student_id,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score
1,9.8,4.7,3.8,83.2,5.6,Never,3,69.5
2,6.0,0.5,2.2,60.6,6.4,Often,10,76.3
3,2.7,5.9,2.2,74.4,4.1,Often,2,100.0
4,6.2,1.6,3.1,84.2,5.2,Rarely,7,74.8
5,2.8,0.6,3.3,75.5,6.0,Often,5,76.3
6,5.7,5.0,2.5,94.5,5.4,Rarely,1,72.5
7,1.7,4.2,3.2,72.4,4.7,Rarely,1,82.4
8,6.4,3.7,0.1,71.7,7.6,Often,9,64.3
9,5.7,0.9,2.1,70.6,8.1,Never,5,94.0
10,7.7,2.9,1.4,73.3,5.3,Rarely,1,73.8
11,6.7,4.7,0.6,82.3,7.9,Often,7,71.0
12,5.9,1.8,0.5,88.3,5.9,Daily,9,84.7
13,7.2,1.9,3.0,86.5,6.5,Rarely,1,66.1
14,2.3,0.0,2.6,92.3,8.3,Rarely,10,82.2
15,6.4,1.0,1.3,95.4,7.7,Rarely,4,89.1
16,2.5,5.3,2.4,92.6,8.0,Daily,3,72.6
17,9.3,2.7,2.5,60.8,4.7,Often,5,95.5
18,1.6,5.9,1.0,89.4,4.3,Never,7,81.4
19,4.9,2.4,3.3,68.3,8.5,Rarely,8,81.6
20,7.3,4.3,3.9,65.3,5.9,Rarely,2,88.7
21,5.1,1.7,4.0,85.5,5.4,Often,7,91.3
22,1.8,2.2,3.0,72.8,7.6,Often,1,77.6
23,6.0,1.1,2.6,62.3,8.2,Often,7,83.0
24,6.8,2.1,0.3,65.5,8.3,Daily,8,89.0
25,7.3,3.3,1.4,60.0,5.6,Never,2,63.4
26,4.4,6.0,0.5,96.1,8.3,Rarely,9,57.7
27,6.1,4.0,4.8,61.0,4.2,Rarely,1,74.4
28,5.1,1.2,0.7,68.4,4.2,Rarely,6,57.5
29,7.0,0.3,0.8,76.7,7.1,Never,1,71.9
30,6.3,0.8,4.4,74.3,4.3,Never,3,78.1
31,5.7,3.4,4.7,96.5,5.6,Often,6,72.2
32,3.2,4.6,3.8,61.6,7.4,Often,3,73.6
33,1.0,5.6,0.0,80.5,5.7,Rarely,8,65.0
34,2.6,0.1,0.0,87.2,4.9,Rarely,5,82.9
35,2.1,3.1,1.9,97.3,5.4,Rarely,2,64.4
36,5.0,2.8,0.7,84.8,6.3,Often,4,54.0
37,6.5,3.9,0.1,92.2,6.4,Often,9,72.9
38,2.9,3.4,2.3,63.3,7.9,Rarely,4,84.2
39,9.5,4.1,4.7,75.4,7.8,Rarely,10,75.8
40,1.1,3.9,1.6,75.0,6.3,Never,10,63.4
41,8.0,0.7,3.3,95.5,8.2,Never,8,76.0
42,6.6,4.8,3.3,66.1,4.6,Rarely,5,79.4
43,4.4,0.7,1.3,66.1,5.3,Often,10,75.9
44,1.5,4.2,3.3,73.1,8.1,Often,1,72.4
45,6.6,2.5,1.1,62.2,5.9,Rarely,7,79.9
46,4.5,3.1,0.6,67.3,8.9,Often,3,57.6
47,9.4,5.4,3.5,98.6,6.3,Daily,10,66.1
48,5.9,5.3,0.6,77.1,8.0,Rarely,8,61.9
49,9.5,4.9,5.0,85.3,6.0,Rarely,3,88.5
50,3.0,3.1,0.9,89.0,6.1,Daily,1,82.1
51,7.5,4.4,3.0,74.7,5.9,Rarely,5,76.9
52,6.6,3.1,2.1,65.9,7.6,Daily,2,60.5
53,7.7,5.2,0.6,68.3,6.7,Daily,4,82.4
54,2.9,2.4,0.1,72.5,8.7,Often,1,88.9
55,7.0,5.8,3.1,85.4,5.3,Often,9,80.7
56,5.5,5.6,4.0,75.9,4.5,Often,6,74.6
57,7.7,4.4,4.2,60.3,6.0,Often,8,81.3
58,3.9,1.7,2.4,80.9,7.1,Rarely,4,77.7
59,9.0,0.8,3.9,96.9,8.3,Never,9,84.3
60,1.8,5.1,3.4,92.5,5.7,Rarely,2,84.0
61,8.3,1.0,3.6,93.0,7.3,Often,9,72.8
62,8.8,5.1,2.5,91.8,5.8,Never,5,68.4
63,8.4,2.9,3.2,72.9,7.1,Never,6,71.0
64,5.6,2.4,4.0,90.6,8.4,Never,3,80.4
65,4.9,5.4,2.0,65.7,5.2,Often,4,71.6
66,10.0,3.6,4.0,86.3,6.0,Daily,6,67.5
67,3.1,3.5,3.0,85.7,9.0,Daily,7,75.0
68,5.9,3.4,0.8,61.0,8.3,Rarely,1,86.1
69,7.0,2.2,0.1,91.5,6.8,Often,7,76.4
70,7.3,4.7,1.8,96.1,6.6,Often,1,72.2
71,2.8,1.5,2.7,70.7,5.4,Rarely,5,78.2
72,6.9,5.6,4.2,92.5,6.6,Rarely,6,75.8
73,8.4,5.4,0.6,63.3,8.2,Never,2,55.7
74,1.5,2.0,4.0,84.0,7.4,Daily,10,82.0
75,9.2,4.4,4.3,79.4,5.5,Rarely,9,79.1
76,1.3,3.4,0.8,81.8,5.0,Rarely,10,75.2
77,4.2,2.0,4.3,97.0,5.3,Often,6,85.6
78,1.1,5.9,5.0,94.9,4.8,Rarely,7,87.1
79,1.7,0.2,3.6,91.4,4.5,Rarely,10,83.0
80,9.2,1.5,3.9,70.9,6.1,Often,8,66.5
81,4.2,3.1,5.0,96.5,4.6,Never,10,66.8
82,4.8,3.1,3.0,63.9,4.9,Often,1,86.2
83,2.9,3.5,1.5,94.1,6.7,Rarely,8,56.2
84,6.4,4.5,4.2,73.1,4.8,Often,4,73.5
85,6.4,3.7,3.1,62.2,4.3,Often,10,79.4
86,4.3,3.6,2.9,86.8,5.6,Rarely,8,57.5
87,4.0,0.3,1.3,69.3,5.1,Rarely,6,77.3
88,9.0,2.3,3.8,69.7,6.6,Often,9,84.5
89,4.4,1.4,0.4,72.2,4.5,Often,4,60.1
90,5.4,1.6,4.6,62.5,7.8,Often,2,91.6
91,3.5,3.3,1.6,67.1,8.5,Often,2,64.9
92,8.1,1.2,0.6,60.2,7.7,Never,5,80.7
93,4.6,1.8,2.2,77.8,6.7,Rarely,10,74.2
94,5.6,1.4,0.2,63.4,8.3,Daily,9,75.7
95,3.3,5.7,3.4,87.3,7.5,Rarely,3,62.2
96,9.9,5.7,4.5,69.4,4.1,Never,8,87.6
97,3.6,3.7,4.2,97.7,6.0,Rarely,4,78.3
98,7.9,5.5,0.6,94.9,8.3,Never,6,91.2
99,4.8,4.7,0.6,71.6,5.7,Rarely,10,62.4
100,2.9,3.5,4.1,91.3,4.2,Daily,6,73.2
101,8.2,0.0,4.6,92.1,7.7,Rarely,3,77.1
102,4.0,4.6,2.3,99.5,8.0,Rarely,5,75.6
103,8.8,4.2,2.5,83.9,4.8,Daily,3,81.7
104,9.2,3.7,1.6,63.3,6.7,Daily,1,73.1
105,8.7,4.6,4.5,85.9,5.0,Rarely,7,96.2
106,1.3,3.1,3.2,85.0,7.6,Rarely,4,75.4
107,8.1,4.2,1.4,85.5,5.4,Often,7,46.2
108,4.7,5.6,1.5,72.3,5.6,Often,3,75.8
109,8.9,2.3,4.5,94.4,8.2,Often,5,87.6
110,6.7,4.2,0.1,98.4,6.4,Often,5,65.8
111,8.5,2.9,1.6,68.7,7.3,Often,2,65.1
112,5.5,4.0,2.8,63.5,6.0,Rarely,10,66.6
113,5.8,4.6,0.7,67.8,5.5,Often,2,64.2
114,2.3,0.3,0.5,92.8,7.1,Rarely,4,70.2
115,8.1,3.9,4.1,87.1,4.8,Often,4,84.1
116,4.8,1.4,4.5,85.4,5.9,Often,4,90.3
117,5.5,4.0,4.1,76.1,5.0,Never,6,50.8
118,8.1,2.8,4.5,83.1,7.5,Rarely,2,71.2
119,6.4,4.6,2.8,72.3,8.7,Rarely,6,78.0
120,2.8,0.7,4.1,79.1,9.0,Rarely,7,77.0
121,6.3,3.8,1.9,91.7,6.3,Often,10,94.0
122,4.7,1.7,3.3,99.2,5.3,Rarely,3,54.9
123,5.2,5.1,4.9,97.3,6.2,Often,8,49.1
124,1.3,5.6,1.1,97.4,8.2,Never,2,95.6
125,2.9,6.0,1.9,76.1,5.0,Often,8,82.5
126,3.5,4.8,2.4,78.8,8.8,Often,5,69.3
127,7.4,4.5,0.7,88.2,5.7,Often,2,76.7
128,1.1,1.3,0.4,96.9,8.9,Rarely,7,77.4
129,4.7,2.0,4.1,65.7,8.2,Daily,2,69.0
130,9.3,2.8,4.9,72.2,8.0,Rarely,6,76.4
131,2.0,4.6,2.0,65.6,5.6,Never,10,78.5
132,5.6,5.5,0.4,84.5,4.0,Rarely,3,95.2
133,8.1,1.1,0.3,72.3,5.9,Never,9,84.6
134,9.5,5.5,4.5,73.0,5.5,Daily,3,92.4
135,7.7,4.2,2.3,62.8,4.2,Rarely,3,61.6
136,7.5,3.7,1.6,74.0,6.5,Often,5,71.5
137,8.4,1.2,2.4,94.5,6.0,Often,7,77.4
138,5.0,0.3,1.6,69.3,7.2,Rarely,8,55.8
139,8.3,3.4,2.4,87.8,7.1,Often,7,86.8
140,1.1,3.9,4.3,85.2,4.6,Never,9,81.4
141,9.3,1.3,3.0,94.5,8.9,Rarely,5,71.3
142,5.0,3.3,3.5,65.3,4.9,Never,10,73.2
